"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"995",606149,"Gallegos, Giovanny","1740","57.2","0.195","0.133","0.252","0.329","0.263","0.276","0.197","41","210","87.6","27.0","2398","89.8","88.79","176","507","488","-1.0","5.75","113","153","116","147","300","322","302"
"992",642207,"Williams, Devin","1533","64.7","0.153","0.037","0.286","0.189","0.219","0.240","0.169","29","190","84.6","8.8","2582","87.8","88.27","210","477","515","0.5","7.11","109","152","118","147","301","325","300"
"896",453268,"Bard, Daniel","1688","53.1","0.238","0.173","0.311","0.411","0.336","0.292","0.204","44","185","87.0","14.3","2741","92.4","92.53","124","405","491","0.1","6.10","108","148","114","144","304","328","303"
"882",642397,"Soto, Gregory","1639","53.8","0.179","0.067","0.240","0.246","0.257","0.305","0.208","32","179","90.0","12.6","2364","95.0","95.71","132","420","462","0.7","6.72","107","152","114","148","302","331","299"
"880",621242,"Díaz, Edwin","1522","57.8","0.211","0.065","0.370","0.276","0.271","0.244","0.173","39","185","85.9","14.1","2271","95.3","96.35","165","440","440","1.0","7.22","112","153","112","146","302","329","307"
"867",453343,"Melancon, Mark","1478","58.7","0.251","0.082","0.311","0.333","0.300","0.338","0.281","49","195","88.5","4.6","2369","88.3","88.01","89","410","457","-0.3","6.27","111","149","120","145","300","321","304"
"864",642528,"Loáisiga, Jonathan","1364","63.3","0.215","0.056","0.268","0.272","0.251","0.261","0.215","42","195","84.2","3.4","2341","94.2","94.29","128","451","413","0.1","6.54","107","152","114","146","300","327","289"
"852",643511,"Rogers, Tyler","1681","50.7","0.252","0.104","0.288","0.357","0.280","0.268","0.239","58","230","84.8","3.0","2046","78.0","76.76","71","435","417","-1.2","5.91","106","147","110","147","295","320","291"
"846",605130,"Barlow, Scott","1804","46.9","0.232","0.116","0.322","0.348","0.292","0.285","0.214","42","181","86.6","14.2","2387","86.0","86.78","128","376","470","0.8","6.77","106","156","114","145","300","322","301"
"844",519293,"Smith, Will","1574","53.6","0.219","0.197","0.286","0.415","0.311","0.300","0.214","40","183","88.2","17.8","2239","85.8","85.81","142","410","434","0.0","6.26","106","149","118","145","306","324","293"
"838",502202,"Boxberger, Brad","1528","54.8","0.208","0.158","0.265","0.366","0.292","0.285","0.196","38","183","87.2","15.7","2160","89.8","88.04","108","376","462","-1.8","5.61","109","153","116","147","300","323","299"
"819",445276,"Jansen, Kenley","1589","51.5","0.188","0.091","0.254","0.280","0.255","0.270","0.192","35","186","82.4","20.7","2524","91.5","92.03","117","409","410","0.5","7.11","112","155","114","149","301","321","295"
"780",623149,"Sewald, Paul","1540","50.6","0.165","0.141","0.208","0.306","0.239","0.268","0.192","28","170","87.9","18.3","2374","88.0","88.11","134","396","384","0.1","6.44","113","154","117","148","296","323","296"
"759",623352,"Hader, Josh","1359","55.8","0.096","0.083","0.139","0.179","0.193","0.247","0.151","15","156","87.1","21.5","2140","92.3","90.33","164","372","387","-2.0","6.68","108","152","116","147","307","329","301"
"757",554340,"Garcia, Yimi","1380","54.9","0.251","0.204","0.279","0.455","0.320","0.320","0.249","42","167","86.8","13.1","2463","91.1","90.20","98","369","388","-0.9","5.79","107","155","119","147","301","321","293"
"755",493603,"Ottavino, Adam","1641","46.0","0.220","0.126","0.304","0.346","0.296","0.295","0.221","35","159","84.4","11.9","2554","87.6","88.27","98","327","428","0.7","6.91","109","152","116","145","292","325","297"
"748",650893,"Cabrera, Génesis","1686","44.4","0.200","0.097","0.266","0.297","0.280","0.299","0.214","31","155","83.3","9.5","2210","92.7","92.28","91","356","392","-0.4","6.06","111","152","116","147","296","318","295"
"744",643338,"Green, Chad","1553","47.9","0.244","0.221","0.281","0.465","0.318","0.312","0.243","42","172","89.5","21.9","2510","91.8","92.21","128","397","347","0.4","6.65","108","155","116","147","297","324","289"
"740",593576,"Neris, Héctor","1741","42.5","0.205","0.161","0.257","0.366","0.290","0.264","0.176","33","161","85.3","13.1","1835","90.2","89.96","119","360","380","-0.2","6.25","109","151","114","147","296","325","293"
"732",608665,"Graveman, Kendall","1381","53.0","0.201","0.124","0.252","0.325","0.275","0.327","0.244","34","169","88.6","7.4","2251","93.6","93.76","89","338","394","0.2","6.37","108","150","111","146","293","323","297"
"724",605242,"Fulmer, Michael","1616","44.8","0.217","0.145","0.280","0.362","0.290","0.290","0.216","33","152","86.9","17.0","2246","92.1","92.57","97","335","389","0.5","6.55","108","156","117","148","302","332","300"
"713",453178,"Kennedy, Ian","1368","52.1","0.222","0.136","0.279","0.358","0.288","0.295","0.226","36","162","90.7","26.6","2397","92.4","92.55","104","380","333","0.2","6.52","110","152","118","147","301","328","296"
"700",605280,"Holmes, Clay","1648","42.5","0.201","0.063","0.265","0.264","0.245","0.247","0.193","32","159","86.6","-7.2","2311","93.4","92.83","90","327","373","-0.6","6.10","110","152","116","148","299","322","287"
"698",641941,"Pagán, Emilio","1596","43.7","0.219","0.270","0.244","0.489","0.343","0.359","0.244","30","137","90.6","23.7","2372","91.2","91.75","95","341","357","0.6","6.64","110","151","123","145","302","327","303"
"694",640448,"Finnegan, Kyle","1719","40.4","0.260","0.169","0.311","0.429","0.331","0.320","0.245","40","154","89.4","7.6","1967","93.3","93.97","93","334","359","0.7","6.61","109","153","116","145","303","323","296"
"692",521230,"Hendriks, Liam","1571","44.0","0.204","0.198","0.256","0.401","0.271","0.281","0.209","33","162","91.0","19.9","2315","94.5","95.60","154","383","309","1.1","6.93","111","150","111","147","297","320","297"
"691",605447,"Romano, Jordan","1499","46.1","0.182","0.094","0.248","0.277","0.245","0.297","0.229","29","159","90.1","9.3","2279","93.4","94.86","108","363","328","1.5","7.23","108","157","119","148","299","323","292"
"689",628452,"Iglesias, Raisel","1455","47.4","0.220","0.149","0.310","0.369","0.268","0.250","0.191","37","168","84.2","16.5","2304","91.0","90.56","156","384","305","-0.4","6.08","113","156","115","150","301","326","298"
"685",570663,"Robles, Hansel","1589","43.1","0.242","0.248","0.261","0.490","0.347","0.353","0.255","37","153","90.3","12.3","2086","93.1","93.03","72","332","353","-0.1","6.17","109","154","114","149","296","329","296"
"681",573124,"Rogers, Taylor","1135","60.0","0.238","0.088","0.364","0.325","0.265","0.266","0.210","38","160","86.2","5.9","2374","88.6","87.68","104","331","350","-0.9","5.69","104","153","114","148","299","328","297"
"671",543272,"Hand, Brad","1530","43.9","0.254","0.134","0.319","0.388","0.335","0.363","0.270","34","134","85.5","12.5","2311","86.8","85.48","58","269","402","-1.3","5.61","106","149","114","144","302","323","293"
