"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"363",640444,"Crowe, Wil","821","44.2","0.271","0.071","0.346","0.343","0.326","0.289","0.212","19","70","82.6","11.8","2234","88.9","89.32","45","159","204","0.4","6.55","103","149","113","147","305","323","299"
"346",642207,"Williams, Devin","540","64.1","0.145","0.016","0.290","0.161","0.231","0.266","0.180","9","62","84.0","6.7","2523","88.2","89.70","77","169","177","1.5","7.40","110","150","117","146","299","322","296"
"346",670280,"Bednar, David","566","61.1","0.197","0.145","0.283","0.342","0.275","0.270","0.193","15","76","88.8","16.1","2221","90.2","90.40","58","164","182","0.2","6.48","106","152","117","148","307","325","302"
"322",605347,"López, Jorge","580","55.5","0.165","0.089","0.214","0.253","0.210","0.244","0.195","13","79","86.9","-1.0","2086","92.5","92.52","43","157","165","0.0","6.32","106","155","112","149","309","323","296"
"307",641941,"Pagán, Emilio","498","61.6","0.250","0.304","0.294","0.554","0.401","0.403","0.277","14","56","89.9","12.2","2255","90.3","90.93","38","148","159","0.6","6.65","103","149","111","147","300","331","290"
"307",472610,"García, Luis","482","63.7","0.258","0.061","0.333","0.318","0.305","0.330","0.268","17","66","90.4","5.7","2062","91.6","91.86","41","133","174","0.3","6.59","112","154","115","150","295","327","305"
"304",554340,"Garcia, Yimi","437","69.6","0.234","0.172","0.245","0.406","0.308","0.295","0.241","15","64","85.3","17.2","2407","89.9","88.86","31","134","170","-1.0","5.73","108","165","124","149","297","320","297"
"296",606149,"Gallegos, Giovanny","504","58.7","0.200","0.169","0.233","0.369","0.269","0.290","0.213","13","65","89.0","27.2","2423","89.5","88.43","51","152","144","-1.1","5.77","111","154","115","148","298","323","299"
"296",453268,"Bard, Daniel","471","62.8","0.143","0.127","0.163","0.270","0.243","0.242","0.154","9","63","84.3","11.4","2650","93.4","93.30","37","130","166","-0.1","6.01","110","150","115","144","305","327","297"
"291",642397,"Soto, Gregory","508","57.3","0.204","0.111","0.250","0.315","0.286","0.366","0.245","11","54","93.0","18.1","2350","96.2","96.63","44","143","148","0.4","6.63","108","155","113","148","307","337","297"
"290",661395,"Duran, Jhoan","506","57.3","0.157","0.057","0.233","0.214","0.202","0.251","0.185","11","70","87.8","2.7","2189","95.4","95.27","52","167","123","-0.1","6.14","108","153","112","149","299","332","292"
"284",605447,"Romano, Jordan","468","60.7","0.243","0.129","0.300","0.371","0.304","0.377","0.309","17","70","94.5","12.7","2197","92.3","93.80","44","153","131","1.5","7.34","108","162","120","149","301","324","296"
"278",621242,"Díaz, Edwin","523","53.2","0.232","0.071","0.480","0.304","0.285","0.244","0.194","13","56","85.6","2.6","2299","94.2","93.78","58","131","147","-0.4","7.23","110","154","118","146","299","328","307"
"271",502202,"Boxberger, Brad","454","59.7","0.203","0.085","0.250","0.288","0.262","0.275","0.204","12","59","85.2","13.8","2132","89.0","87.90","23","111","160","-1.1","5.64","110","151","115","146","298","321","296"
"270",605280,"Holmes, Clay","524","51.5","0.222","0.048","0.280","0.270","0.251","0.234","0.200","14","63","87.7","-11.3","2280","94.9","94.26","38","146","124","-0.6","6.08","110","155","116","150","298","326","287"
"265",573124,"Rogers, Taylor","493","53.8","0.200","0.117","0.275","0.317","0.281","0.334","0.217","12","60","88.9","9.8","2476","87.2","86.11","40","121","144","-1.1","5.76","109","155","116","149","298","328","304"
"262",605130,"Barlow, Scott","581","45.1","0.153","0.169","0.150","0.322","0.236","0.262","0.181","9","59","84.4","16.6","2375","84.1","85.03","37","127","135","0.9","6.84","105","156","115","146","304","324","306"
"261",608717,"Stratton, Chris","573","45.5","0.297","0.203","0.348","0.500","0.363","0.351","0.272","19","64","88.4","9.1","2821","87.0","87.49","35","129","132","0.5","6.60","105","150","113","148","304","323","299"
"258",518617,"Diekman, Jake","519","49.7","0.163","0.070","0.240","0.233","0.281","0.315","0.187","7","43","87.2","16.4","2496","88.3","88.06","39","108","150","-0.2","6.37","111","153","116","149","293","328","293"
"257",502085,"Robertson, David","469","54.8","0.183","0.083","0.263","0.267","0.240","0.245","0.185","11","60","85.6","-1.9","2634","88.7","89.33","41","117","140","0.6","6.67","109","150","114","155","298","324","297"
"254",667427,"Jackson, Zach","578","43.9","0.186","0.023","0.320","0.209","0.287","0.379","0.236","8","43","87.6","15.6","2272","90.4","88.73","32","99","155","-1.7","5.26","108","152","113","145","298","316","295"
"253",621381,"Strahm, Matt","399","63.4","0.230","0.066","0.311","0.295","0.252","0.239","0.187","14","61","85.0","15.6","2374","90.7","90.55","33","135","118","-0.1","6.26","104","152","116","148","292","322","293"
"252",608665,"Graveman, Kendall","510","49.4","0.271","0.186","0.318","0.458","0.352","0.343","0.240","16","59","89.5","10.2","2223","93.3","93.41","28","114","138","0.1","6.37","107","149","109","144","297","327","300"
"251",643511,"Rogers, Tyler","552","45.5","0.269","0.119","0.288","0.388","0.308","0.280","0.239","18","67","83.3","-2.7","2106","78.1","76.65","19","125","126","-1.5","5.92","106","149","111","148","294","322","287"
"250",453178,"Kennedy, Ian","469","53.3","0.306","0.161","0.354","0.468","0.360","0.369","0.314","19","62","93.2","24.6","2418","91.9","91.99","23","131","119","0.1","6.58","107","149","121","146","303","324","296"
"249",592094,"Adam, Jason","452","55.1","0.127","0.036","0.189","0.164","0.190","0.228","0.155","7","55","85.7","12.4","2360","88.2","88.52","43","121","128","0.3","6.58","103","156","117","147","303","325","299"
"249",650633,"King, Michael","624","39.9","0.145","0.127","0.194","0.273","0.233","0.295","0.186","8","55","86.0","7.4","2493","91.0","90.77","46","114","135","-0.2","6.34","110","152","115","148","299","326","288"
"246",608349,"Knebel, Corey","546","45.1","0.292","0.250","0.324","0.542","0.415","0.392","0.279","14","48","90.6","15.4","2486","90.4","90.48","31","107","139","0.1","6.54","109","149","119","142","296","324","293"
"245",608678,"Leone, Dominic","453","54.1","0.271","0.119","0.349","0.390","0.323","0.307","0.255","16","59","87.7","13.2","2374","90.3","90.86","50","141","104","0.6","6.57","110","152","116","149","297","323","294"
"242",623149,"Sewald, Paul","436","55.5","0.182","0.200","0.189","0.382","0.270","0.268","0.202","10","55","87.5","19.3","2451","87.9","88.02","37","116","126","0.1","6.45","115","154","120","148","298","326","299"
"239",664854,"Helsley, Ryan","476","50.2","0.087","0.109","0.107","0.196","0.195","0.271","0.166","4","46","87.0","21.8","2559","94.2","94.74","40","118","121","0.5","6.70","109","155","117","148","300","323","298"
"238",656271,"Burke, Brock","604","39.4","0.200","0.160","0.257","0.360","0.294","0.345","0.269","10","50","89.5","17.3","2178","92.2","93.35","20","100","138","1.2","7.07","112","152","116","147","298","316","291"
"234",622253,"Tate, Dillon","537","43.6","0.220","0.051","0.265","0.271","0.259","0.352","0.274","13","59","87.9","8.9","1908","88.9","89.07","27","114","120","0.2","6.47","105","153","112","147","305","322","295"
"233",521230,"Hendriks, Liam","440","53.0","0.241","0.204","0.323","0.444","0.315","0.305","0.222","13","54","91.7","19.2","2278","94.3","95.56","45","117","116","1.3","7.08","108","148","108","146","299","323","300"
"233",605538,"Wisler, Matt","631","36.9","0.140","0.180","0.132","0.320","0.238","0.262","0.175","7","50","86.7","25.4","2423","80.5","79.51","23","102","131","-1.0","5.79","107","174","116","148","303","327","299"
"232",605242,"Fulmer, Michael","433","53.6","0.170","0.149","0.200","0.319","0.280","0.310","0.215","8","47","90.3","20.1","2242","90.8","91.31","22","93","139","0.5","6.55","109","160","116","148","305","332","299"
"231",606160,"Montero, Rafael","483","47.8","0.137","0.000","0.219","0.137","0.181","0.201","0.154","7","51","83.9","0.8","2235","94.2","93.86","33","108","123","-0.3","6.21","113","151","113","148","294","324","292"
"230",453343,"Melancon, Mark","425","54.1","0.356","0.102","0.408","0.458","0.390","0.367","0.320","21","59","91.5","9.1","2367","87.7","87.31","25","121","109","-0.4","6.26","107","147","116","147","301","322","297"
"229",605154,"Brebbia, John","543","42.2","0.188","0.063","0.273","0.250","0.236","0.265","0.211","9","48","86.2","20.9","2372","89.2","90.06","40","122","107","0.9","6.74","108","150","114","147","300","324","292"
"227",664208,"Maton, Phil","539","42.1","0.234","0.170","0.265","0.404","0.328","0.371","0.297","11","47","84.1","14.6","2663","83.1","84.19","34","110","117","1.1","7.13","111","150","117","147","295","322","293"
"226",666808,"Doval, Camilo","553","40.9","0.224","0.102","0.333","0.327","0.304","0.315","0.213","11","49","85.5","2.1","2506","92.0","92.75","35","98","128","0.7","6.56","106","148","111","147","296","322","294"
"223",650893,"Cabrera, Génesis","491","45.4","0.130","0.093","0.146","0.222","0.197","0.235","0.181","7","54","83.1","10.7","2144","90.6","90.13","25","108","115","-0.5","6.09","111","155","115","148","297","321","292"
"221",656557,"Houck, Tanner","734","30.1","0.149","0.170","0.192","0.319","0.246","0.262","0.202","7","47","89.4","5.3","2275","90.2","89.78","35","106","115","-0.4","6.17","114","157","114","151","295","325","295"
"221",621345,"Minter, A.J.","503","43.9","0.176","0.078","0.242","0.255","0.189","0.205","0.174","9","51","85.6","20.3","2385","92.8","92.86","35","113","108","0.1","6.24","109","152","116","149","308","332","296"
"220",680704,"Sandlin, Nick","361","60.9","0.162","0.000","0.188","0.162","0.286","0.328","0.210","6","37","80.0","7.4","2291","87.9","88.08","18","92","128","0.2","6.51","103","148","112","144","296","318","292"
"219",570663,"Robles, Hansel","404","54.2","0.260","0.260","0.256","0.520","0.369","0.401","0.294","13","50","93.2","12.7","2159","92.4","92.35","26","100","119","0.0","6.27","113","153","116","150","292","329","294"
"219",623352,"Hader, Josh","395","55.4","0.125","0.146","0.160","0.271","0.217","0.273","0.168","6","48","88.3","23.4","2124","92.2","92.77","45","103","116","0.6","6.75","109","150","119","147","304","326","298"
"218",501925,"Smith, Joe","362","60.2","0.245","0.163","0.268","0.408","0.331","0.352","0.259","12","49","87.9","-3.4","2023","83.1","83.24","20","105","113","0.1","6.56","103","150","112","144","298","331","290"
"217",519293,"Smith, Will","495","43.8","0.279","0.116","0.393","0.395","0.341","0.290","0.209","12","43","88.2","15.5","2191","84.3","84.14","38","103","114","-0.2","6.16","105","150","120","144","307","328","298"
"216",661383,"Ortega, Oliver","528","40.9","0.261","0.130","0.333","0.391","0.342","0.369","0.280","12","46","87.1","7.6","2301","90.7","89.88","23","101","115","-0.8","5.84","109","150","113","146","296","321","291"
"215",445276,"Jansen, Kenley","518","41.5","0.241","0.130","0.333","0.370","0.280","0.257","0.210","13","54","82.7","22.1","2470","91.4","91.80","28","105","110","0.4","6.97","111","151","122","145","305","333","302"
