Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Xavier Cedeno","CHC",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6902945041656494,36
"Total","Fernando Rodney","2 Tms",18,44,16.4347826,17,3,0,15,14,3,6,0,0,7,0.44736842,0.52272727,0.76315789,0.5267283604903654,494
"Total","Tommy Hunter","PHI",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1157
"Total","Adam Ottavino","NYY",31,74,4.5,12,2,1,12,9,1,10,2,1,21,0.19354839,0.31081081,0.30645161,0.2652820837166574,1247
"Total","Jon Edwards","CLE",1,1,9,1,0,0,1,1,1,0,0,0,0,1,1,4,1.9395360946655273,1483
"Total","Oliver Perez","CLE",23,37,10.125,9,5,0,9,9,1,4,2,0,9,0.28125,0.35135135,0.53125,0.343207653931209,1514
"Total","Sean Doolittle","WSN",34,102,5.47826087,24,2,1,14,14,3,7,1,2,30,0.26086957,0.32673267,0.40217391,0.31014081835746765,1581
"Total","Edwin Jackson","TOR",1,1,18,1,1,0,2,2,0,0,0,0,0,1,1,2,1.21666419506073,1841
"Total","Hector Rondon","HOU",22,37,5.4,7,3,0,6,6,1,1,0,0,6,0.2,0.21621622,0.37142857,0.24023364846770828,2391
"Total","Luis Avilan","NYM",10,15,2.45454545,2,0,0,1,1,0,2,0,1,2,0.16666667,0.33333333,0.16666667,0.2559346318244934,2882
"Total","Kenley Jansen","LAD",35,100,7.71428572,23,4,0,22,20,5,6,0,1,39,0.25274725,0.3,0.46153846,0.3159982198476791,3096
"Total","Tony Watson","SFG",31,66,4.15384615,13,2,0,8,8,1,5,1,1,10,0.22413793,0.296875,0.31034483,0.26268779569202,3132
"Total","Tim Collins","CHC",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164
"Total","Will Harris","HOU",23,43,3.97058824,9,0,0,8,5,1,2,0,0,9,0.225,0.26190476,0.3,0.24469007764543807,3192
"Total","Francisco Liriano","PIT",26,48,12.27272727,11,2,0,16,15,3,8,1,0,8,0.28947368,0.39583333,0.57894737,0.3893966345076865,3201
"Total","T.J. McFarland","ARI",13,15,10.80000001,5,2,0,6,4,0,2,0,0,1,0.38461538,0.46666667,0.53846154,0.4281826138496399,3237
"Total","Zack Britton","NYY",30,67,4.58490566,12,2,0,9,9,2,8,1,0,12,0.20689655,0.3030303,0.34482759,0.27848185025728667,3240
"Total","Joe Smith","HOU",4,6,0,1,0,0,0,0,0,0,0,0,3,0.16666667,0.16666667,0.16666667,0.14493454496065775,3281
"Total","Hector Noesi","MIA",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292
"Total","Liam Hendriks","OAK",33,97,3.97058823,25,5,1,11,10,4,8,5,0,37,0.28735632,0.34375,0.50574713,0.33500520148120083,3548
"Total","Zach Duke","CIN",6,6,22.5,0,0,0,5,5,0,1,0,0,2,0,0.16666667,0,0.11504908402760823,3840
"Total","Matt Magill","2 Tms",13,35,7.71428571,10,2,0,7,6,1,3,3,0,11,0.33333333,0.39393939,0.5,0.34867051243782043,3950
"Total","Edinson Volquez","TEX",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990
"Total","Allen Webster","CHC",2,3,0,0,0,0,0,0,0,0,0,1,0,0,0.33333333,0,0.23973864316940308,3993
"Total","Yusmeiro Petit","OAK",26,52,7.36363636,9,2,0,12,12,3,0,0,0,15,0.17647059,0.17647059,0.39215686,0.23000717163085938,4020
"Total","Hector Santiago","2 Tms",2,7,13.50000003,1,0,0,2,2,0,2,0,0,1,0.2,0.42857143,0.2,0.3214566111564636,4026
"Total","Pedro Strop","CHC",16,42,14.04000001,15,3,0,13,13,3,4,0,2,12,0.41666667,0.5,0.75,0.5117780041126978,4070
"Total","Derek Holland","2 Tms",7,9,13.5,3,1,0,3,3,1,1,0,0,1,0.375,0.44444444,0.875,0.5240113404062059,4141
"Total","David Hernandez","CIN",20,35,15.42857143,11,2,1,12,12,1,3,0,1,10,0.35483871,0.42857143,0.58064516,0.4222637210573469,4259
"Total","Mark Melancon","2 Tms",25,63,7.04347826,17,2,0,12,12,1,2,1,0,15,0.27868852,0.3015873,0.36065574,0.27802678654270785,4264
"Total","Matt Albers","MIL",30,66,9.20454545,13,2,0,15,15,3,14,2,1,13,0.27083333,0.4375,0.5,0.39050878728589705,4300
"Total","Justin Wilson","NYM",19,51,2.25,12,2,0,4,3,1,6,1,1,16,0.27272727,0.37254902,0.38636364,0.32740036725997923,4301
"Total","Tyler Chatwood","CHC",10,33,5,7,2,0,5,5,0,2,0,1,9,0.23333333,0.3030303,0.3,0.2691263538418394,4338
"Total","Pat Neshek","PHI",5,12,3.375,2,1,0,2,1,0,1,0,0,2,0.2,0.25,0.3,0.2313804974158605,4682
"Total","Nate Jones","CHW",2,3,27.00000027,1,0,0,1,1,1,0,0,1,0,0.5,0.66666667,2,0.8862506747245789,4696
"Total","Mike Montgomery","CHC",8,12,13.50000001,5,0,1,5,5,2,0,0,0,1,0.41666667,0.41666667,1.08333333,0.5956085125605265,4869
"Total","Fernando Abad","SFG",10,17,7.71428571,3,0,0,4,4,0,1,0,0,5,0.1875,0.23529412,0.1875,0.19406566549749935,4994
"Total","Jake Diekman","2 Tms",38,71,9.18,14,2,0,18,17,1,7,0,3,20,0.23728814,0.33802817,0.3220339,0.2947641376038672,5003
"Total","Jeurys Familia","NYM",18,48,18,15,3,0,19,18,4,11,3,1,7,0.45454545,0.58695652,0.90909091,0.5722457461578901,5114
"Total","Wade LeBlanc","SEA",8,11,20.24999997,3,1,0,6,6,0,1,0,0,0,0.3,0.36363636,0.4,0.3314702944322066,5221
