Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Matt Bush","TEX",13,31,9,7,1,0,7,7,2,2,0,0,12,0.25,0.3,0.5,0.3436867515246073,1246
"Total","Adam Ottavino","NYM",15,27,3.85714286,5,1,0,3,3,2,3,0,0,7,0.20833333,0.2962963,0.5,0.3419153646186546,1247
"Total","Oliver Perez","ARI",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8844921588897705,1514
"Total","Sean Doolittle","WSN",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1581
"Total","Matt Moore","TEX",7,11,2.25,0,0,0,1,1,0,2,0,0,5,0,0.18181818,0,0.12547211213545365,1890
"Total","Jhoulys Chacin","COL",7,12,4.9090909,4,1,0,4,2,0,0,0,0,2,0.33333333,0.33333333,0.41666667,0.32618483901023865,2608
"Total","Ross Detwiler","CIN",2,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.22112303972244263,2859
"Total","Kenley Jansen","ATL",17,46,7.36363636,10,2,1,9,9,2,3,1,0,15,0.23809524,0.2826087,0.47619048,0.31233783033159046,3096
"Total","David Price","LAD",3,3,0,1,1,0,0,0,0,0,0,0,1,0.33333333,0.33333333,0.66666667,0.4202471971511841,3184
"Total","T.J. McFarland","STL",2,5,0,0,0,0,0,0,0,2,0,0,1,0,0.4,0,0.27603864669799805,3237
"Total","Joe Smith","MIN",16,32,3.85714286,6,1,0,5,4,1,2,1,1,5,0.20689655,0.28125,0.34482759,0.26697119782047884,3281
"Total","Darren O'Day","ATL",6,11,6.74999999,2,1,0,4,2,0,2,1,0,2,0.25,0.36363636,0.375,0.2835330367088318,3321
"Total","Liam Hendriks","CHW",14,41,5.58620689,9,0,0,7,6,2,3,1,1,14,0.25,0.31707317,0.41666667,0.31061970442533493,3548
"Total","Mark Melancon","ARI",19,53,5.90625,17,1,0,10,7,1,5,0,1,8,0.36170213,0.43396226,0.44680851,0.3918095725887227,4264
"Total","Justin Wilson","CIN",1,2,13.49999993,0,0,0,1,1,0,0,0,0,2,0,0,0,0,4301
"Total","Jake Diekman","BOS",17,44,0,4,0,0,2,0,0,8,1,4,14,0.12903226,0.36363636,0.12903226,0.26173134737236553,5003
"Total","Anthony Gose","CLE",2,6,0,1,0,0,0,0,0,0,0,0,2,0.16666667,0.16666667,0.16666667,0.14741535981496176,5097
"Total","Jeurys Familia","PHI",9,17,7.71428571,4,1,0,6,4,2,1,0,0,4,0.25,0.29411765,0.6875,0.40982526190140667,5114
"Total","Jose Alvarez","SFG",5,13,10.12499999,5,0,0,3,3,2,0,0,0,4,0.41666667,0.41666667,0.91666667,0.5654312968254089,5358
"Total","Jesse Chavez","2 Tms",5,10,21.60000009,4,1,0,5,4,2,1,0,0,3,0.44444444,0.5,1.22222222,0.6967029452323914,5448
"Total","Arodys Vizcaino","KCR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5498
"Total","Ryan Brasier","BOS",11,24,14.4,7,2,0,8,8,3,2,0,0,6,0.35,0.375,0.9,0.4945087234179179,5615
"Total","David Phelps","TOR",8,18,4.5,1,0,0,4,2,0,5,0,1,6,0.08333333,0.38888889,0.08333333,0.28091255492634243,6316
"Total","Trevor May","NYM",4,7,20.25000005,2,0,0,3,3,0,1,0,0,0,0.33333333,0.42857143,0.33333333,0.351297276360648,6398
"Total","Steve Cishek","WSN",4,12,16.19999997,5,0,0,4,3,0,3,1,0,0,0.625,0.72727273,0.625,0.5802654027938843,6483
"Total","Craig Kimbrel","LAD",10,31,7.94117647,9,4,0,8,5,0,4,1,0,11,0.33333333,0.41935484,0.48148148,0.3845239003499349,6655
"Total","Alex Colome","COL",13,23,8.43750001,9,3,0,7,5,0,1,0,0,2,0.42857143,0.43478261,0.57142857,0.42518584106279456,6661
"Total","Johnny Cueto","CHW",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6893
"Total","Luis Garcia","SDP",20,40,10,8,1,0,12,10,0,5,0,2,10,0.25,0.38461538,0.28125,0.31655310973142964,6984
"Total","Ian Kennedy","ARI",17,49,4.35483871,13,3,0,8,5,1,7,3,0,9,0.31707317,0.41666667,0.46341463,0.36819756031036377,6986
"Total","Ryan Pressly","HOU",15,38,4.35483871,7,0,0,6,5,1,5,0,0,6,0.23333333,0.33333333,0.33333333,0.3006468216578166,7005
"Total","Daniel Bard","COL",20,64,1.14893617,7,2,0,3,2,0,11,1,0,17,0.13461538,0.28125,0.17307692,0.21976047848898267,7115
"Total","Daniel Hudson","LAD",11,26,5.68421053,4,2,0,4,4,0,2,0,0,8,0.17391304,0.24,0.26086957,0.22682642936706543,7146
"Total","Greg Holland","TEX",2,3,0,1,0,0,1,0,0,0,0,0,1,0.5,0.33333333,0.5,0.2948307196299235,7196
"Total","Craig Stammen","SDP",6,10,11.57142859,3,1,0,4,3,2,0,0,0,2,0.33333333,0.3,1.11111111,0.5392440676689148,7274
"Total","Collin McHugh","ATL",12,20,16.87500001,6,3,0,10,10,0,1,0,0,3,0.33333333,0.35,0.5,0.35628989338874817,7531
"Total","Jake McGee","SFG",8,15,7.36363636,3,0,0,3,3,0,1,0,0,2,0.21428571,0.26666667,0.21428571,0.22290487289428712,7550
"Total","Wily Peralta","DET",3,8,10.79999998,2,1,0,2,2,0,1,0,0,1,0.33333333,0.375,0.5,0.35441629588603973,7738
"Total","Richard Bleier","MIA",4,5,0,1,0,0,0,0,0,1,0,0,2,0.25,0.4,0.25,0.31491775512695314,7803
"Total","Hunter Strickland","CIN",8,19,13.50000001,6,2,0,6,5,1,2,0,0,4,0.35294118,0.42105263,0.64705882,0.45373697029916865,7836
"Total","Anthony Bass","MIA",13,29,4.32,5,3,0,5,4,0,2,0,0,6,0.19230769,0.24137931,0.30769231,0.2390138732975927,7982
"Total","Will Smith","ATL",15,37,6.48,9,2,0,10,6,1,3,1,0,11,0.27272727,0.32432432,0.42424242,0.31317996978759766,8048
"Total","Bryan Shaw","CLE",8,18,10.80000001,5,1,0,4,4,1,3,0,0,2,0.33333333,0.44444444,0.6,0.4472420811653137,8110
"Total","David Robertson","CHC",16,50,2.18918919,9,1,0,3,3,1,4,0,1,16,0.2,0.28,0.28888889,0.25999746918678285,8241
"Total","Lucas Luetge","NYY",7,16,12,6,1,0,5,4,1,0,0,0,3,0.375,0.375,0.625,0.429034985601902,8337
"Total","Brad Hand","PHI",12,26,9,5,1,0,6,5,0,4,0,2,7,0.25,0.42307692,0.3,0.346230699465825,9111
"Total","Joe Kelly","CHW",7,12,9,2,0,0,3,3,0,2,0,0,4,0.2,0.33333333,0.2,0.26243146260579425,9761
"Total","Garrett Richards","TEX",2,3,27,1,1,0,4,3,0,1,0,0,0,0.5,0.66666667,1,0.6502794027328491,9784
"Total","Sergio Romo","SEA",3,9,0,1,0,0,0,0,0,2,0,0,3,0.16666667,0.33333333,0.16666667,0.2516317102644179,9817
"Total","Tyler Matzek","ATL",3,6,27.00000027,1,1,0,2,1,0,4,0,0,0,0.5,0.83333333,1,0.6701880097389221,10058
"Total","Brooks Raley","TBR",15,30,3.52173913,3,0,0,4,3,0,1,0,2,11,0.11538462,0.20689655,0.11538462,0.1650508477770049,10061
"Total","Caleb Thielbar","MIN",13,27,4.5,4,1,0,3,3,0,4,0,0,5,0.17391304,0.2962963,0.2173913,0.24720757537417942,10078
"Total","Brad Boxberger","MIL",14,40,1.6875,6,1,0,2,2,0,5,0,0,8,0.18181818,0.28205128,0.21212121,0.234197063323779,10133
"Total","Aroldis Chapman","NYY",11,19,8.30769231,3,1,0,4,4,1,3,0,0,2,0.2,0.31578947,0.46666667,0.3305985864840056,10233
"Total","Ryan Tepera","LAA",13,33,5.86956521,9,1,0,5,5,1,4,0,0,6,0.32142857,0.39393939,0.46428571,0.37207341555393103,10291
"Total","Erasmo Ramirez","WSN",2,5,0,2,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.3537968635559082,10314
"Total","Juan Minaya","MIN",1,2,9,0,0,0,1,1,0,2,0,0,0,0,1,0,0.6900966167449951,10341
"Total","Aaron Loup","LAA",14,18,12.27272726,7,2,0,12,5,0,0,0,0,4,0.38888889,0.38888889,0.5,0.3857746654086643,10343
"Total","Mychal Givens","CHC",11,23,5.0625,3,1,0,3,3,0,5,0,0,5,0.17647059,0.34782609,0.23529412,0.2817482170851334,10430
"Total","Andrew Bellatti","PHI",9,13,6,4,2,0,5,2,1,1,0,0,3,0.36363636,0.38461538,0.81818182,0.47399396162766677,10657
"Total","Tyler Thornburg","2 Tms",2,10,20.25000005,3,0,0,4,3,1,3,0,0,0,0.42857143,0.6,0.85714286,0.5905123710632324,10688
"Total","Drew Hutchison","DET",4,9,33.75000008,3,1,0,6,5,1,1,0,0,2,0.375,0.44444444,0.875,0.5445755455229018,10732
"Total","Chasen Shreve","NYM",5,9,9,3,0,0,2,2,1,0,0,0,4,0.33333333,0.33333333,0.66666667,0.42609265115525985,10855
"Total","Casey Lawrence","TOR",1,3,81.00000081,2,0,0,3,3,0,0,0,0,1,0.66666667,0.66666667,0.66666667,0.589661439259847,11121
"Total","Vince Velasquez","CHW",1,5,0,1,0,0,1,0,0,0,0,1,0,0.25,0.4,0.25,0.32118858098983766,11189
"Total","Tommy Kahnle","LAD",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11384
"Total","Joely Rodriguez","NYM",10,13,8.10000001,1,0,0,4,3,0,2,0,0,2,0.09090909,0.23076923,0.09090909,0.174206568644597,11487
"Total","Heath Hembree","PIT",4,5,13.50000003,1,0,0,2,2,1,0,0,0,3,0.2,0.2,0.8,0.41316990852355956,11632
"Total","Justin Grimm","OAK",4,5,67.49999966,3,1,0,5,5,0,0,0,0,1,0.6,0.6,0.8,0.6059451818466186,11720
"Total","Hansel Robles","BOS",15,41,6,8,1,0,8,6,1,7,1,0,7,0.24242424,0.36585366,0.36363636,0.3193530946969986,11801
"Total","Hector Neris","HOU",13,27,8.52631579,7,3,0,6,6,0,2,0,0,6,0.28,0.33333333,0.4,0.32223654234850846,11804
"Total","Chris Martin","CHC",8,16,0,3,2,0,0,0,0,0,0,0,5,0.2,0.1875,0.33333333,0.2128734588623047,11847
"Total","Jason Adam","TBR",14,27,2.25,4,0,1,2,2,0,3,0,0,8,0.16666667,0.25925926,0.25,0.23419008873127126,11861
"Total","Yimi Garcia","TOR",16,30,4.5,7,1,0,5,4,1,1,0,0,7,0.25925926,0.26666667,0.40740741,0.28130495150883994,12095
"Total","Jacob Barnes","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12323
"Total","Spencer Patton","TEX",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12361
"Total","Seth Lugo","NYM",9,19,15.75,6,2,0,7,7,2,1,0,0,4,0.33333333,0.36842105,0.77777778,0.47959280014038086,12447
"Total","Nick Martinez","SDP",2,4,18,1,0,0,2,2,1,0,0,0,0,0.25,0.25,1,0.5164623856544495,12730
"Total","Rafael Montero","HOU",16,33,0,1,0,0,0,0,0,4,0,0,11,0.03571429,0.15625,0.03571429,0.11390245705842972,12760
"Total","John Brebbia","SFG",13,25,6,4,0,1,5,4,0,3,0,0,6,0.21052632,0.29166667,0.31578947,0.2634638498226802,12777
"Total","Noe Ramirez","ARI",17,24,7.04347826,3,0,0,7,6,1,2,1,0,10,0.14285714,0.20833333,0.28571429,0.1967361077018406,12800
"Total","Matt Wisler","TBR",8,20,4.15384616,4,0,1,5,2,0,3,1,0,3,0.25,0.36842105,0.375,0.3129464321666294,12804
"Total","Andrew Kittredge","TBR",10,25,5.68421053,6,0,0,4,4,2,1,0,0,3,0.25,0.28,0.5,0.3343905735015869,12828
"Total","Shawn Armstrong","2 Tms",4,6,18,2,0,0,2,2,0,1,0,0,1,0.4,0.5,0.4,0.40984682242075604,12857
