"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Justin Wilson","CIN","17.18","0.00","7.00","0.00","53.8%","0.0%","53.8%",".231","0.82",".500","66.7%","56","-12","7","2.45","-0.70","3.16","0.11","0.22","4301"
"JT Chargois","TBR","13.50","0.00","1.00","0.00","50.0%","0.0%","50.0%",".000","0.00",".000","100.0%","0","-1","-1","0.00","0.12","-0.12","0.12","-0.65","13767"
"Bowden Francis","TOR","13.50","0.00","1.00","0.00","33.3%","0.0%","33.3%",".333","1.50",".500","100.0%","0","-1","-1","0.00","0.12","-0.12","0.12","1.02","20548"
"Aneurys Zabala","MIA","13.50","0.00","1.00","0.00","33.3%","0.0%","33.3%",".333","1.50",".500","100.0%","0","7","60","0.00","0.12","-0.12","2.35","2.50","20802"
"Daniel Mengden","KCR","12.46","0.00","6.00","0.00","33.3%","0.0%","33.3%",".278","1.15",".417","60.0%","53","5","50","2.08","0.35","1.73","2.07","1.76","16980"
"Sean Doolittle","WSN","10.13","0.00","6.00","0.00","35.3%","0.0%","35.3%",".059","0.19",".091","100.0%","0","24","78","0.00","0.87","-0.87","3.10","2.14","1581"
"Zach Pop","MIA","9.82","0.00","8.00","0.00","26.7%","0.0%","26.7%",".300","1.23",".409","66.7%","92","27","51","3.68","0.93","2.75","1.95","1.71","20185"
"Cory Abbott","WSN","9.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".000","0.00",".000","100.0%","0","30","66","0.00","1.12","-1.12","2.61","1.76","20277"
"Janson Junk","LAA","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","24","25","0.00","1.12","-1.12","1.12","-0.92","23301"
"Cam Alldred","PIT","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","31","66","0.00","1.12","-1.12","2.61","2.05","25078"
"Sean Hjelle","SFG","13.50","3.00","4.50","0.00","28.1%","6.3%","21.9%",".333","2.00",".476","33.3%","223","32","48","9.00","1.12","7.88","1.86","2.29","21481"
"Jhon Romero","MIN","10.80","1.80","6.00","0.00","25.0%","4.2%","20.8%",".391","2.00",".529","80.0%","94","30","38","3.60","1.32","2.28","1.61","1.56","19940"
"James Naile","STL","7.71","0.00","2.00","0.00","22.2%","0.0%","22.2%",".222","0.86",".286","100.0%","0","39","53","0.00","1.40","-1.40","2.04","2.42","18186"
"Pierce Johnson","SDP","16.50","6.00","2.75","0.00","39.3%","14.3%","25.0%",".250","1.67",".462","70.0%","112","39","50","4.50","1.45","3.05","1.95","2.61","13435"
"Ryan Helsley","STL","13.78","3.03","4.55","0.28","42.4%","9.3%","33.1%",".093","0.64",".161","86.7%","21","40","59","0.83","1.46","-0.64","2.30","1.84","18138"
